tracking_number,branch,shipped_at,delivered_at,weight_kg,status,claims,transit_days
AM-178,Dire,2024-11-13,,4.164492925164971,delivered,0,
AM-179,Bahir,2024-11-05,,3.3063949024408688,in_transit,0,
AM-181,Hawassa,2024-11-11,2024-11-15,5.345389139489952,delivered,0,4.0
AM-182,Hawassa,2024-11-04,,5.998873805754083,in_transit,0,
AM-183,Dire,2024-11-05,,7.328707348479862,delivered,0,
AM-184,Adama,2024-11-12,2024-11-17,9.117632495598171,delivered,0,5.0
AM-185,Bahir,2024-11-09,,8.956557871432118,delivered,0,
AM-186,Hawassa,2024-11-09,2024-11-10,7.322756379783416,delivered,0,1.0
AM-187,Adama,2024-11-01,2024-11-04,7.311236122342765,delivered,0,3.0
AM-188,Bahir,2024-11-13,2024-11-18,4.876386912948821,delivered,0,5.0
AM-190,Hawassa,2024-11-08,2024-11-13,3.726154837179131,delivered,0,5.0
AM-191,Adama,2024-11-10,,5.73994787700302,delivered,1,
AM-192,Bahir,2024-11-19,,8.380611407020236,delivered,0,
AM-193,Adama,2024-11-17,2024-11-21,3.615209339115133,delivered,0,4.0
AM-194,Hawassa,2024-11-11,2024-11-16,5.933410520966125,delivered,0,5.0
AM-195,Addis,2024-11-18,2024-11-22,4.181794222793288,delivered,0,4.0
AM-196,Adama,2024-11-14,2024-11-19,5.427267728269649,delivered,0,5.0
AM-197,Dire,2024-11-20,2024-11-22,7.593088061039994,delivered,1,2.0
AM-198,Addis,2024-11-09,2024-11-11,6.341250157079585,delivered,0,2.0
AM-200,Adama,2024-11-16,,5.096098040292983,in_transit,0,
AM-201,Addis,2024-11-02,,7.2513511431923074,in_transit,0,
AM-202,Adama,2024-11-10,2024-11-14,4.679399767956022,delivered,0,4.0
AM-203,Dire,2024-11-11,2024-11-14,6.41082105392252,delivered,0,3.0
AM-204,Hawassa,2024-11-18,2024-11-21,6.5891856851167585,delivered,0,3.0
AM-205,Addis,2024-11-14,,3.75408590178574,in_transit,0,
AM-206,Addis,2024-11-06,,2.3795733578263674,in_transit,0,
AM-208,Dire,2024-11-04,2024-11-06,3.427739926582418,delivered,0,2.0
AM-209,Hawassa,2024-11-06,,7.5541459179817965,in_transit,0,
AM-210,Adama,2024-11-10,,6.1891850659154,delivered,0,
AM-211,Hawassa,2024-11-03,,4.975877161361746,in_transit,0,
AM-212,Addis,2024-11-01,2024-11-04,6.978767877876818,delivered,0,3.0
AM-213,Dire,2024-11-06,2024-11-08,6.386363159626397,delivered,0,2.0
AM-214,Unknown,2024-11-11,,5.296950529713413,in_transit,0,
AM-215,Adama,2024-11-19,,4.5610369080429045,delivered,0,
AM-216,Addis,2024-11-08,,7.201918569399794,in_transit,0,
AM-217,Addis,2024-11-19,,7.1583243304557005,in_transit,0,
AM-218,Adama,2024-11-14,2024-11-19,4.298360755234614,delivered,0,5.0
AM-219,Addis,2024-11-03,2024-11-07,6.468862232964195,delivered,0,4.0
AM-220,Bahir,2024-11-10,,4.001710217337975,delivered,0,
